actiongeocountrycode,eventbasecode,No_events,Tone,Goldstein,yearmonth
AE,033,56,2.064821368656816,5.2,202001
AE,033,61,1.133647783598433,5.2,202002
AE,035,1,1.5256588072122,7.0,192001
AE,035,1,1.80972078593589,7.0,201901
AE,035,48,1.5878046835164776,7.0,202001
AE,035,46,-1.1794585581927566,7.0,202002
AE,036,81,2.339795718537679,4.0,192001
AE,036,8,-0.6279346306843787,4.0,201901
AE,036,2,4.58513111279122,4.0,201902
AE,036,2,0.8440291040258949,4.0,201912
AE,036,805,1.1512702644167663,4.0,202001
AE,036,682,1.1166856979672988,4.0,202002
AE,037,1,3.89221556886228,5.0,202002
AE,039,1,1.82584269662921,5.0,202001
AE,039,2,0.87209302325582,5.0,202002
AE,040,90,1.7668801672904357,1.0,192001
AE,040,2,-4.12844036697248,1.0,201901
AE,040,4,-3.057160231073272,1.0,201902
AE,040,5,-0.619531924760558,1.0,201912
AE,040,912,0.8091203221808578,1.0,202001
AE,040,707,0.6801035451045299,1.0,202002
AE,041,6,0.16389086532971334,1.0,202001
AE,042,178,-0.18401366722995452,1.9,192001
AE,042,23,0.22297229159717977,1.9,201901
AE,042,22,-0.40543129020193847,1.9,201902
AE,042,14,-3.7973564456951108,1.9,201912
AE,042,1555,0.3540403492042178,1.9,202001
AE,042,1442,0.3461609622616364,1.9,202002
AE,043,166,-0.036112306520819946,2.8,192001
AE,043,23,-0.17726554676990494,2.8,201901
AE,043,20,0.3790233150028441,2.8,201902
AE,043,15,-2.5982879488367767,2.8,201912
AE,043,1415,0.6156178496081702,2.8,202001
AE,043,1342,0.6281800506330548,2.8,202002
AE,044,183,1.619549443004454,2.5,202001
AE,044,37,0.1105844883378835,2.5,202002
AE,045,3,1.3835529357374001,5.0,192001
AE,045,50,2.2942861105088532,5.0,202001
AE,045,26,1.020187111451679,5.0,202002
AE,046,110,3.4904320251415983,7.0,192001
AE,046,11,-0.46307212799294545,7.0,201901
AE,046,6,0.896860986547085,7.0,201902
AE,046,1,-0.41322314049587,7.0,201912
AE,046,556,1.703049455264939,7.0,202001
AE,046,394,1.818227786877265,7.0,202002
AE,050,4,4.1573926868044495,3.5,192001
AE,050,1,5.12249443207127,3.5,201901
AE,050,142,1.0212429797331921,3.5,202001
AE,050,117,1.8452512553805467,3.5,202002
AE,051,128,2.361026471523176,3.4,192001
AE,051,1,10.2739726027398,3.4,201002
AE,051,2,1.8035050648279398,3.4,201901
AE,051,7,0.9015709285675472,3.4,201902
AE,051,4,5.640120296421852,3.4,201912
AE,051,970,0.9411869236241839,3.4,202001
AE,051,837,2.321633884440768,3.3999999999999995,202002
AE,052,2,4.19779692117734,3.5,192001
AE,052,1,12.0547945205479,3.5,201902
AE,052,13,2.2178285082125098,3.5,202001
AE,052,18,2.0043166147913025,3.5,202002
AE,053,4,-4.78821362799264,3.8,202001
AE,054,8,-2.761014439270684,6.0,202001
AE,054,6,-1.129965594133655,6.0,202002
AE,055,6,-5.502145438234041,7.0,202002
AE,056,2,-0.71599045346062,7.0,192001
AE,056,2,-2.9986218183384303,7.0,202001
AE,057,57,0.20497197300541983,8.0,192001
AE,057,5,2.80491551459293,8.0,201901
AE,057,6,-0.34708392988415665,8.0,201902
AE,057,2,-3.69609856262834,8.0,201912
AE,057,442,3.091063444158286,8.0,202001
AE,057,391,2.3807534073149106,8.0,202002
AE,060,15,1.4334867116259606,6.0,192001
AE,060,2,-2.6230042359074597,6.0,201912
AE,060,185,-0.0939899369202395,6.0,202001
AE,060,178,0.4956707253984432,6.0,202002
AE,061,14,0.29867667965136147,6.4,192001
AE,061,7,0.5066170388751114,6.4,201901
AE,061,5,-0.19910307076990597,6.4,201902
AE,061,145,-0.044702105300549425,6.4,202001
AE,061,111,0.2495855331361728,6.400000000000001,202002
AE,062,11,1.7955096307327771,7.4,202001
AE,062,25,2.9115420519870314,7.4,202002
AE,063,3,-5.018750690910976,7.400000000000001,202001
AE,063,15,-2.8545262953070165,7.4,202002
AE,064,2,0.63733927305862,7.0,192001
AE,064,7,-2.6378549150021344,7.0,202001
AE,064,7,0.6647870363973578,7.0,202002
AE,070,22,-2.064545732637045,7.0,192001
AE,070,1,3.21543408360128,7.0,201901
AE,070,9,1.3089766713121946,7.0,201902
AE,070,198,0.551806410665804,7.0,202001
AE,070,243,1.0012353918010046,7.0,202002
AE,071,22,0.6981653908916591,7.4,192001
AE,071,9,0.7345683782828457,7.400000000000001,201901
AE,071,3,2.9696005479077705,7.400000000000001,201902
AE,071,1,-1.36986301369863,7.4,201912
AE,071,244,0.11092902457542715,7.4,202001
AE,071,155,0.10013892680604944,7.4,202002
AE,072,6,-2.4343205578722067,8.3,192001
AE,072,2,-5.04029982603552,8.3,201912
AE,072,36,-2.24105885484968,8.3,202001
AE,072,30,0.34898407795842096,8.3,202002
AE,073,6,-0.2236812220827451,7.400000000000001,192001
AE,073,4,-0.19023784434743252,7.4,201902
AE,073,38,-1.5289239254194051,7.3999999999999995,202001
AE,073,37,1.2157203485677812,7.4,202002
AE,075,1,1.19802677942213,7.0,202001
AE,075,4,0.7744189333817976,7.0,202002
AE,080,5,-2.448593918003584,5.0,192001
AE,080,2,-0.250040646000435,5.0,201901
AE,080,4,-1.4168501625249026,5.0,201902
AE,080,2,-8.63309352517984,5.0,201912
AE,080,78,-1.9736009859863322,5.0,202001
AE,080,75,-1.005992895362119,5.0,202002
AE,081,3,-2.06271848118382,5.0,201902
